bin midpoint	subsampled diversity
0.5	122.316089580347
1.5	127.237099432024
2.5	129.268444895316
3.5	110.622523332975
4.5	111.971223636364
5.5	102.024827572676
6.5	99.051972
7.5	89.9248001151832
8.5	79.832136
9.5	95.364516588064
10.5	67.5208595785037
11.5	75.2420368711434
12.5	97.772425944664
13.5	74.0408759302325
14.5	68.515056
15.5	59.5945302857143
16.5	47.9664476571428
17.5	64.0818508571428
18.5	61.5830800742705
19.5	62.8177715044248
20.5	68.0215368813559
21.5	50.64505
22.5	41.7816272
23.5	37.1627504347826
24.5	39.2472902162162
25.5	37.0141265915493
26.5	50.8077567692307
27.5	53.3291492903226
28.5	59.2441801682243
29.5	48.3767133793103
30.5	60.5532321345133
31.5	52.9272869886792
32.5	80.8302576663594
33.5	69.3867281832061
34.5	51.2332346060606
35.5	50.5636378064516
36.5	54.0515795
37.5	53.74038925
38.5	39.5090312727273
39.5	38.4421838493075
40.5	43.3677905901639
41.5	54.0228066407767
42.5	28.824226
43.5	30.7662378947368
44.5	40.0363825714286
45.5	12.0075465714286
46.5	12.89912
47.5	NA
48.5	NA
49.5	NA
50.5	NA
51.5	NA
52.5	NA
53.5	7.807096
54.5	10.2323193333333
55.5	NA
56.5	39.1350473239436
57.5	47.4422810232558
58.5	42.229792054054
59.5	45.8767018518518
60.5	38.0196896
61.5	33.3670655172414
62.5	NA
63.5	13.570284
64.5	NA
65.5	NA
